,year,state,tot_imprisoned,tot_black_imprisoned,tot_white_imprisoned
0,1990,AK,129.83499999999998,0.0,136.0425
1,1990,AL,697.3007462686569,1853.2545757575756,378.1910134128167
2,1990,AR,155.90373333333326,416.0832835820896,109.04027777777776
3,1990,AZ,284.7713333333333,1436.3993333333335,251.24533333333335
4,1990,CA,808.3202725563913,1442.0008928571424,279.47321428571433
5,1990,CO,491.50198244552064,4181.135299043062,393.81575095785445
6,1990,CT,0.0,0.0,0.0
7,1990,DC,390.12,596.59,47.16
8,1990,DE,0.0,0.0,0.0
9,1990,FL,973.0188805970149,1639.3437313432837,244.44880597014935
10,1990,GA,948.4494475667121,2828.867358837287,473.1648936553712
11,1990,HI,60.91799999999999,162.88,103.635
12,1990,IA,219.58007096392663,6689.969841269842,200.32471653346653
13,1990,ID,195.2678571428571,13222.1725,143.00526315789472
14,1990,IL,364.58499849985003,9456.636666666669,285.6185714285714
15,1990,IN,177.67010869565215,11385.30395348837,167.18351648351646
16,1990,KS,157.35111111111118,11776.8684,123.6631578947368
17,1990,KY,517.036603688709,4618.806386554622,452.39090519877686
18,1990,LA,446.88500000000016,1064.7342857142855,209.85730158730155
19,1990,MA,161.3592857142857,962.8121428571428,110.55071428571429
20,1990,MD,771.4375,2882.7050724637675,409.75416666666666
21,1990,ME,99.053125,318.98125,93.889375
22,1990,MI,538.5818749999999,15675.26812987013,438.0191244725739
23,1990,MN,218.5975,4894.753984674331,187.06439469320065
24,1990,MO,613.7936601515755,11277.656315789478,532.9539102564102
25,1990,MS,612.1547154471543,489.93474358974373,96.42974358974355
26,1990,MT,129.83367346938772,1686.1757692307694,92.30387755102039
27,1990,NC,660.362111111111,458.8569387755101,78.17744897959186
28,1990,ND,161.63903076923077,1866.032,108.83380608974359
29,1990,NE,404.2989873417722,5632.799487179487,422.6308911777879
30,1990,NH,302.201,1522.7179999999998,279.642
31,1990,NJ,679.2490476190477,3699.9113333333335,240.93085714285712
32,1990,NM,317.1128125,1974.8266666666666,159.05870967741933
33,1990,NV,973.6333088235294,3224.700769230769,292.1566666666667
34,1990,NY,338.53655172413795,1474.553333333333,103.6477192982456
35,1990,OH,359.43311912225715,3090.459069767441,88.36023255813954
36,1990,OK,559.798961038961,3215.5636103896104,453.9447224224946
37,1990,OR,473.6248571428572,3209.4666666666662,436.22499999999997
38,1990,PA,369.04060606060614,4784.836783216783,281.25213976499685
39,1990,RI,0.0,0.0,0.0
40,1990,SC,979.185,1962.6484782608695,474.7952173913043
41,1990,SD,395.17858709960507,4081.4375,141.8218604651163
42,1990,TN,602.9032631578949,4587.746948933418,462.8753684210528
43,1990,TX,886.6203522153133,6546.679738415543,548.7738887622522
44,1990,UT,478.60367816091957,27051.213881578944,423.19634074074065
45,1990,VA,639.7762316142245,2530.4858569321536,333.78967213114754
46,1990,VT,0.0,0.0,0.0
47,1990,WA,478.4083468286101,3606.335285714286,387.2737426900585
48,1990,WI,315.19309663536774,12324.689999999999,286.6712434607647
49,1990,WV,288.9044631217839,16541.290884353744,210.8668981481481
50,1990,WY,197.5391304347826,1778.655294117647,170.65954545454545
51,1991,AK,137.8275,257.0925,133.0275
52,1991,AL,737.7276119402986,2016.9996689976692,389.2162344759066
53,1991,AR,165.8536,475.7705797101449,112.47319444444443
54,1991,AZ,285.60866666666664,1424.6033333333332,232.35399999999998
55,1991,CA,810.2250030248033,3434.5088121118,598.4639912280704
56,1991,CO,503.81475786924943,4398.747608225109,396.10303065134093
57,1991,CT,0.0,0.0,0.0
58,1991,DC,557.23,850.7,79.03
59,1991,DE,0.0,0.0,0.0
60,1991,FL,1043.3682089552237,4665.130762098597,548.1874626865673
61,1991,GA,976.0318879313929,2855.4085554171847,503.1054061240935
62,1991,HI,60.288,141.06,94.19
63,1991,IA,238.3087585458492,8471.321991025034,218.20097706641184
64,1991,ID,200.0307142857143,14507.472,161.03184210526314
65,1991,IL,383.23868080808086,6280.492392874339,293.5575026299181
66,1991,IN,197.9638043478261,12194.191011235955,182.62406593406598
67,1991,KS,169.99636363636367,11069.103333333334,131.07210526315788
68,1991,KY,557.1730521817365,5597.812197705207,459.8936749672346
69,1991,LA,1152.6453124999998,2754.278216765874,499.1971552579364
70,1991,MA,179.27999999999997,1543.047142857143,120.26357142857141
71,1991,MD,816.2862500000001,3115.9818115942026,409.12958333333324
72,1991,ME,101.30499999999999,358.429375,90.88125
73,1991,MI,570.7863388554215,7820.965525641024,469.48868305744884
74,1991,MN,224.7657763157895,5535.68446153846,96.8152777777778
75,1991,MO,618.9477447147988,8757.021612244898,526.2509214046822
76,1991,MS,663.3123441734418,1483.655846153846,284.76256410256417
77,1991,MT,138.92489795918368,2142.0207692307695,93.71326530612245
78,1991,NC,674.3202333333336,25289.697812030077,343.1454551020407
79,1991,ND,170.25963589743588,1651.1031578947368,99.5080901856764
80,1991,NE,474.8489197353281,5311.060904977377,505.8795736339133
81,1991,NH,332.55600000000004,2060.771,303.8591111111111
82,1991,NJ,716.7942857142856,3866.6133333333337,249.11714285714285
83,1991,NM,336.49000000000007,1585.2318518518518,161.12645161290325
84,1991,NV,1027.7879779411765,3220.5269230769236,287.242
85,1991,NY,363.85034482758624,1240.5810526315786,105.74473684210523
86,1991,OH,393.9983751306166,2807.981511627907,92.80127906976746
87,1991,OK,573.6776536796538,2865.0712900128037,462.62877131208324
88,1991,OR,491.30257142857147,3335.7067619047616,445.7357754010694
89,1991,PA,386.00454545454534,5076.722702020203,280.4002164502165
90,1991,RI,0.0,0.0,0.0
